Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,currentPrice,adr_pct_20_days,volume_dollars_1day,price_growth_one_month,move_higher_3_months_percent,avg_volume_10_days,volume_cal
SOUN,SoundHound AI Inc Class A Common Stock,$8.65,1.72,24.82%,2363433895.0,United States,,169658269,Technology,EDP Services,8.24,18.753538204079035,133666.20172262192,1.1419753199978366,275.3794500854209,102318040.0,74571601.0
TLSIW,TriSalus Life Sciences Inc. Warrant,$0.99,0.09,10.00%,26053514.0,United States,2021.0,1647,Health Care,Medical Specialities,1.19,9.068735892718038,56.26000165939331,1.1411764722381907,35.2272799623407,5670.0,17361.0
GLSI,Greenwich LifeSciences Inc. Common Stock,$18.20,-0.93,-4.861%,233836603.0,United States,2020.0,67976,Health Care,Biotechnology: Pharmaceutical Preparations,17.03,12.11955764791015,857.9379863739014,1.140874981880188,65.2418508874694,82990.0,7980.0
BBLGW,Bone Biologics Corp Warrants,$20.64,0.00,0.00%,11026672.0,United States,,1657,Health Care,Industrial Specialties,21.0,13.592092712225124,68.28000068664551,1.1402806248917798,833.3333333333334,1280.0,93.0
AEYE,AudioEye Inc. Common Stock,$8.63,0.04,0.466%,100931069.0,United States,,92433,Technology,EDP Services,9.03,8.982617402833238,2832.5000524520874,1.1393805568803963,115.94202581393745,141200.0,14347.0
PCT,PureCycle Technologies Inc. Common stock,$5.36,0.42,8.502%,880833006.0,United States,,2421873,Utilities,Environmental Services,5.63,10.934040861298634,79262.68190765381,1.1382405668215345,63.31444513343437,2943840.0,741465.0
VTVT,vTv Therapeutics Inc. Class A Common Stock,$16.04,0.07,0.438%,41935569.0,United States,2015.0,12404,Health Care,Biotechnology: Pharmaceutical Preparations,20.12,15.60150278862098,973.2400398254395,1.1368563974552661,138.88242250591412,22250.0,10575.0
WGS,GeneDx Holdings Corp. Class A Common Stock,$10.70,0.505,4.953%,278772996.0,United States,2020.0,221614,Technology,Retail: Computer Software & Peripheral Equipment,9.66,15.461152781197951,11408.040033578873,1.1368421466506873,286.40552691602835,235300.0,266899.0
LLAP,Terran Orbital Corporation Common Stock,$1.21,0.01,0.833%,235298247.0,United States,2021.0,3553724,Industrials,Military/Government/Technical,1.17,7.264806647756306,18283.340445756912,1.1349527993148603,32.151024528129334,4249560.0,1842910.0
OMEX,Odyssey Marine Exploration Inc. Common Stock,$4.13,-0.15,-3.505%,82525251.0,United States,,29039,Consumer Discretionary,Marine Transportation,4.02,5.081504225571365,5573.359817504883,1.1338198773797625,36.88811557532781,76470.0,78849.0
BYON,Beyond Inc. Common Stock,$34.08,-0.36,-1.045%,1553181891.0,United States,,1182338,Consumer Discretionary,Catalog/Specialty Distribution,34.05,5.927273421532631,222335.6035938263,1.133525491229311,33.3463824351326,1058250.0,289583.0
IPX,IperionX Limited American Depositary Share,$14.20,-0.27,-1.866%,274761437.0,United States,,19203,Consumer Discretionary,Diversified Commercial Services,13.49,5.567080760748033,5384.125018119812,1.1335000038146972,51.63413460298181,35190.0,11997.0
VIRX,Viracta Therapeutics Inc. Common Stock,$0.95,-0.035,-3.553%,37308812.0,United States,2005.0,76703,Health Care,Biotechnology: Pharmaceutical Preparations,0.99,11.003922386003918,175.9499967098236,1.1333333421636513,134.09090385703013,116660.0,50401.0
OPTN,OptiNose Inc. Common Stock,$1.93,0.035,1.847%,217417858.0,United States,2017.0,504346,Health Care,Biotechnology: Pharmaceutical Preparations,1.935,9.135028193683903,4825.280050754547,1.133333300219643,60.86957062575238,1185640.0,805153.0
LASE,Laser Photonics Corporation Common Stock,$1.63,-0.21,-11.413%,15083073.0,United States,2022.0,103206,Industrials,Industrial Machinery/Components,1.68,17.127445890518665,362.9700046777725,1.1326530537770125,47.27272451416526,506300.0,33874.0
NCMI,National CineMedia Inc. Common Stock,$4.08,0.21,5.426%,394882645.0,United States,2007.0,187967,Consumer Discretionary,Advertising,4.22,5.318702050769275,8929.97971200943,1.1311474779777129,31.518990099955328,369520.0,6774574.0
CARA,Cara Therapeutics Inc. Common Stock,$0.8702,-0.0098,-1.114%,47562011.0,United States,2014.0,414390,Health Care,Biotechnology: Pharmaceutical Preparations,0.9074,16.565349945823282,1953.7699917554855,1.1299999952316284,44.975851480196425,753060.0,252408.0
DUOT,Duos Technologies Group Inc. Common Stock,$4.30,0.00,0.00%,31162663.0,United States,,24098,Technology,Computer Software: Prepackaged Software,4.34,7.74137038055922,550.8000154495239,1.1295681415746952,39.25861032227449,22520.0,10665.0
